рейтинг,название на русском,назвение на английском,год выпуска,рейтинг кинопоиска
127,Операция «Фортуна»: Искусство побеждать,Operation Fortune: Ruse de guerre,2023,
128,Анчартед: На картах не значится,Uncharted,2022,6.8
129,Семейка Аддамс: Горящий тур,The Addams Family 2,2021,6.4
130,Ходячие мертвецы,The Walking Dead,2010,8.0
131,Доктор Стрэндж: В мультивселенной безумия,Doctor Strange in the Multiverse of Madness,2022,6.5
132,Хранители снов,Rise of the Guardians,2012,7.9
133,Бэтмен,The Batman,2022,7.9
134,1+1,Intouchables,2011,8.8
135,Человек-паук: Нет пути домой,Spider-Man: No Way Home,2021,8.0
136,Настоящий детектив,True Detective,2014,8.7
137,Кабинет редкостей Гильермо дель Торо,Guillermo del Toro's Cabinet of Curiosities,2022,6.8
138,Волк с Уолл-стрит,The Wolf of Wall Street,2013,8.0
139,Андор,Andor,2022,8.2
140,Черное зеркало,Black Mirror,2011,8.5
141,Тачки,Cars,2006,7.5
142,Временные трудности,,2017,6.0
143,Властелин колец: Кольца власти,The Lord of the Rings: The Rings of Power,2022,6.2
144,Любовь. Смерть. Роботы,"Love, Death & Robots",2019,8.2
145,Американский психопат,American Psycho,2000,7.1
146,По соображениям совести,Hacksaw Ridge,2016,8.2
147,Территория,,2017,7.3
148,Капельник,,2022,8.0
149,Бегущий по лезвию 2049,Blade Runner 2049,2017,7.7
150,Остров проклятых,Shutter Island,2009,8.5
151,Билет в рай,Ticket to Paradise,2022,6.4
152,Эйфория,Euphoria,2019,7.6
153,Теория большого взрыва,The Big Bang Theory,2007,8.6
154,Целиком и полностью,Bones and All,2022,6.5
155,Серебряные коньки,,2020,7.5
156,Тор: Любовь и гром,Thor: Love and Thunder,2022,6.0
157,Тайна Коко,Coco,2017,8.7
158,Чарли и шоколадная фабрика,Charlie and the Chocolate Factory,2005,7.6
159,Зеленая книга,Green Book,2018,8.4
160,За пивом!,The Greatest Beer Run Ever,2022,7.4
161,Манюня,,2021,7.1
162,Бумажный дом,La casa de papel,2017,8.1
163,"Поймай меня, если сможешь",Catch Me If You Can,2002,8.5
164,Дневники вампира,The Vampire Diaries,2009,7.9
165,Тьма,Dark,2017,8.1
166,Первый встречный,Marry Me,2022,6.5
167,Лучше звоните Солу,Better Call Saul,2015,8.3
168,Пираты Карибского моря: Проклятие Черной жемчужины,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.4
169,Монстр: История Джеффри Дамера,Dahmer - Monster: The Jeffrey Dahmer Story,2022,7.4
170,Список Шиндлера,Schindler's List,1993,8.8
171,Чёрная весна,,2022,7.7
172,Варвар,Barbarian,2022,6.6
173,Отель «Гранд Будапешт»,The Grand Budapest Hotel,2014,7.9
174,Новогодний корпоратив,Office Christmas Party,2016,5.7
175,Уэйн,Wayne,2019,8.2
176,"Не беспокойся, дорогая","Don't Worry, Darling",2022,6.5
177,Зеленая миля,The Green Mile,1999,9.1
178,Гравити Фолз,Gravity Falls,2012,9.0
179,Надвое,,2022,6.8
180,Большой куш,Snatch,2000,8.5
181,Энканто,Encanto,2021,7.5
182,Гарри Поттер и Кубок огня,Harry Potter and the Goblet of Fire,2005,7.9
183,Тайный Санта,,2022,5.7
184,Киберсталкер,Stalk,2019,7.2
185,Границы любви,Hranice Lásky,2022,5.6
186,Дневник Бриджит Джонс,Bridget Jones's Diary,2001,7.5
187,Холодное сердце,Frozen,2013,7.9
188,Гости из прошлого,,2020,7.9
189,Не оглядывайся,Ne te retourne pas,2009,6.4
190,Миньоны: Грювитация,Minions: The Rise of Gru,2022,6.6
191,Побег из Шоушенка,The Shawshank Redemption,1994,9.1
192,Оппенгеймер,Oppenheimer,2023,
193,Игра на выживание,,2020,7.6
194,Шрэк,Shrek,2001,8.1
195,Полицейский с Рублёвки,,2016,8.0
196,Одержимость,Whiplash,2013,8.3
197,Чон-и,JUNG_E,2023,
198,Сумерки,Twilight,2008,6.7
199,СамоИрония судьбы,,2022,
200,После. Долго и счастливо,After Ever Happy,2022,5.8
201,Удача,Luck,2022,7.3
202,Истребитель демонов,Kimetsu no Yaiba,2019,8.2
203,Детектив Финник,,2022,
204,Последняя дуэль,The Last Duel,2021,7.4
205,Доктор Хаус,"House, M.D.",2004,8.8
206,Пара на праздники,Holidate,2020,6.5
207,Лига справедливости Зака Снайдера,Zack Snyder's Justice League,2021,7.8
208,Интуиция,Serendipity,2001,7.7
209,Нет,Nope,2022,6.3
210,Улыбка,Smile,2022,6.3
211,Замерзшие,,2022,5.8
212,Как я встретил вашу маму,How I Met Your Mother,2005,8.6
213,Чернобыль,Chernobyl,2019,8.8
214,Корабль в Пусан,Neukdaesanyang,2022,5.3
215,Амстердам,Amsterdam,2022,6.1
216,Батя,,2020,7.6
217,Рождественские хроники,The Christmas Chronicles,2018,7.1
218,Бригада,,2002,8.3
219,Два холма,,2022,7.4
220,Криминальное чтиво,Pulp Fiction,1994,8.6
221,Последний богатырь: Посланник Тьмы,,2021,6.8
222,Игра в кальмара,Ojingeo geim,2021,7.5
223,Майор Гром: Чумной Доктор,,2021,7.2
224,Алиса не может ждать,,2022,7.0
225,Темный рыцарь,The Dark Knight,2008,8.5
226,Красное уведомление,Red Notice,2021,6.5
227,День курка,Boss Level,2019,7.1
228,Необыкновенная история на Рождество,The Man Who Invented Christmas,2017,7.4
229,Падение Луны,Moonfall,2022,5.4
230,Бесславные ублюдки,Inglourious Basterds,2009,8.0
231,Фарго,Fargo,2014,8.4
232,Сопрано,The Sopranos,1999,8.8
233,Гарри Поттер и Орден Феникса,Harry Potter and the Order of the Phoenix,2007,7.8
234,Территория,,2020,6.8
235,Остаться в живых,Lost,2004,8.1
236,Однажды в… Голливуде,Once Upon a Time in...  Hollywood,2019,7.6
237,Твин Пикс,Twin Peaks,1990,8.5
238,Многоэтажка,,2022,7.0
239,Затерянный город,The Lost City,2022,6.2
240,Бандит,Bandit,2022,7.3
241,"Ирония судьбы, или С легким паром!",,1975,8.2
242,RRR: Рядом ревёт революция,RRR,2022,8.0
243,Твоё имя,Kimi no na wa.,2016,8.4
244,Варяг,The Northman,2022,6.8
245,Закрыть гештальт,,2022,7.7
246,Достучаться до небес,Knockin' on Heaven's Door,1997,8.6
247,Главный герой,Free Guy,2021,7.4
248,Чёрная птица,Black Bird,2022,7.8
249,Ирония судьбы в Голливуде,About Fate,2022,6.2
250,Зверопой 2,Sing 2,2021,8.3
251,Заклятье: 13-й этаж,Pengabdi Setan 2: Communion,2022,5.0
252,Кит,The Whale,2022,
253,Унесённые призраками,Sen to Chihiro no kamikakushi,2001,8.5
254,Смерть на Ниле,Death on the Nile,2020,6.5
255,Зимородок,Yali Çapkini,2022,8.3
256,С нуля,,2022,6.8
257,Не звезди!,Menteur,2022,6.4
258,Я краснею,Turning Red,2022,7.1
259,Песнь моря,Song of the Sea,2014,8.2
260,Эта замечательная жизнь,It's a Wonderful Life,1947,8.4
261,X,,2022,6.1
262,Прислуга,The Help,2011,8.2
263,Сто лет тому вперёд,,2022,
264,Решение уйти,Hyeeojil gyeolsim,2022,7.1
265,Один дома 3,Home Alone 3,1997,5.7
266,Чернобыль: Зона отчуждения,,2014,7.8
267,Викинги,Vikings,2013,8.2
268,Незабываемое Рождество,Falling for Christmas,2022,5.7
269,Последний рейс,Paradise Highway,2022,5.5
270,Ёлки 8,,2021,3.2
271,Изумительный Морис,The Amazing Maurice,2022,
272,Доктор Кто,Doctor Who,2005,8.7
273,Семь жизней,Seven Pounds,2008,8.2
274,Любовники,,2022,6.0
275,Престиж,The Prestige,2006,8.5
276,Неувольняемый,Irréductible,2022,7.1
277,Метод,,2015,8.1
278,Игрок,The Gambler,2014,6.2
279,Мажор. Фильм,,2021,6.7
280,Секретная служба Санта-Клауса,Arthur Christmas,2011,7.3
281,Аркейн,Arcane: League of Legends,2021,8.8
282,Киберпанк: Бегущие по краю,Cyberpunk: Edgerunners,2022,7.9
283,Вторая жизнь Уве,En man som heter Ove,2015,8.2
284,Довод,Tenet,2020,7.5
285,Фантастические твари и где они обитают,Fantastic Beasts and Where to Find Them,2016,7.6
286,Добыча,Prey,2022,6.6
287,13 жизней,Thirteen Lives,2022,7.7
288,Петрополис,,2021,5.9
289,Пищеблок,,2021,7.2
290,Пиджак,The Jacket,2004,7.8
291,Семь,Se7en,1995,8.3
292,Сексуальное просвещение,Sex Education,2019,8.1
293,Аватар: Легенда об Аанге,Avatar: The Last Airbender,2004,8.7
294,Драйв,Drive,2011,7.3
295,Душа,Soul,2020,8.4
296,Последствия,The Fallout,2021,6.5
297,Образцовый самец 2,Zoolander 2,2016,4.8
298,Джек Райан,Jack Ryan,2018,7.2
299,Корона,The Crown,2016,8.3
300,Медленные лошади,Slow Horses,2022,7.5
301,Мир Дикого Запада,Westworld,2016,7.9
302,Сваты,,2008,7.9
303,Последний богатырь: Корень зла,,2020,7.0
304,Аббатство Даунтон,Downton Abbey,2010,8.5
305,Приключения Тедди,Teddybjørnens jul,2022,6.7
306,Отступники,The Departed,2006,8.5
307,Бруно,Brüno,2009,5.8
308,Плохие парни,The Bad Guys,2022,7.2
309,Песочный человек,The Sandman,2022,7.1
310,Опасный свидетель,Wrong Place,2022,5.3
311,Ёлки 2,,2011,7.0
312,Фандорин. Азазель,,2022,
313,Медиатор,,2021,8.1
314,Тачки 2,Cars 2,2011,6.8
315,Химера,,2022,7.7
316,Извне,From,2022,7.6
317,Птичий короб,Bird Box,2018,6.8
318,Зов предков,The Call of the Wild,2020,7.6
319,Ресторан по понятиям,,2021,5.6
320,Стажёр,The Intern,2015,7.6
321,Круэлла,Cruella,2021,7.6
322,Назад в будущее,Back to the Future,1985,8.6
323,Чародеи,,1982,8.0
324,Рассказ служанки,The Handmaid's Tale,2017,8.0
325,Космический дозор. Эпизод 1,(T)Raumschiff Surprise - Periode 1,2004,6.0
326,Пробуждение,Awakenings,1990,8.4
327,Пятый элемент,The Fifth Element,1997,8.1
328,Семья шпиона,Spy x Family,2022,8.2
329,Всевидящее око,The Pale Blue Eye,2022,
330,Мир Юрского периода: Господство,Jurassic World: Dominion,2022,5.7
331,Легенда,Legend,2015,7.2
332,Счастливого Рождества,Joyeux Noël,2005,7.8
333,Титаник,Titanic,1997,8.4
334,Плохой Санта,Bad Santa,2003,7.4
335,Мандалорец,The Mandalorian,2019,8.0
336,Ходячий замок,Howl no Ugoku Shiro,2004,8.3
337,"Там, где раки поют",Where the Crawdads Sing,2022,7.1
338,Либерея: Охотники за сокровищами,,2022,6.3
339,Ford против Ferrari,Ford v Ferrari,2019,8.2
340,Клиника,Scrubs,2001,8.7
341,"Хроники Нарнии: Лев, колдунья и волшебный шкаф","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,7.3
342,Пьяная фирма,,2016,6.2
343,Хоббит: Нежданное путешествие,The Hobbit: An Unexpected Journey,2012,8.1
344,Анатомия страсти,Grey's Anatomy,2005,8.2
345,Лулу и Бриггс,Dog,2021,7.4
346,Вечность,Forever,2014,8.2
347,Гадкий я,Despicable Me,2010,7.8
348,Невероятный мир глазами Энцо,The Art of Racing in the Rain,2019,8.2
349,Тар,Tár,2022,7.4
